time	S7_D14_HbO	S7_D13_HbO	S7_D12_HbO	S7_D11_HbO	S6_D22_HbO	S6_D12_HbO	S6_D11_HbO	S6_D10_HbO	S6_D9_HbO	S5_D21_HbO	S5_D10_HbO	S5_D9_HbO	S5_D8_HbO	S5_D7_HbO	S4_D20_HbO	S4_D8_HbO	S4_D7_HbO	S4_D6_HbO	S4_D5_HbO	S8_D23_HbO	S8_D16_HbO	S8_D15_HbO	S8_D9_HbO	S3_D19_HbO	S3_D4_HbO	S3_D3_HbO	S2_D18_HbO	S2_D3_HbO	S2_D2_HbO	S1_D17_HbO	S1_D2_HbO	S1_D1_HbO	S7_D14_HbR	S7_D13_HbR	S7_D12_HbR	S7_D11_HbR	S6_D22_HbR	S6_D12_HbR	S6_D11_HbR	S6_D10_HbR	S6_D9_HbR	S5_D21_HbR	S5_D10_HbR	S5_D9_HbR	S5_D8_HbR	S5_D7_HbR	S4_D20_HbR	S4_D8_HbR	S4_D7_HbR	S4_D6_HbR	S4_D5_HbR	S8_D23_HbR	S8_D16_HbR	S8_D15_HbR	S8_D9_HbR	S3_D19_HbR	S3_D4_HbR	S3_D3_HbR	S2_D18_HbR	S2_D3_HbR	S2_D2_HbR	S1_D17_HbR	S1_D2_HbR	S1_D1_HbR	S7_D14_HbT	S7_D13_HbT	S7_D12_HbT	S7_D11_HbT	S6_D22_HbT	S6_D12_HbT	S6_D11_HbT	S6_D10_HbT	S6_D9_HbT	S5_D21_HbT	S5_D10_HbT	S5_D9_HbT	S5_D8_HbT	S5_D7_HbT	S4_D20_HbT	S4_D8_HbT	S4_D7_HbT	S4_D6_HbT	S4_D5_HbT	S8_D23_HbT	S8_D16_HbT	S8_D15_HbT	S8_D9_HbT	S3_D19_HbT	S3_D4_HbT	S3_D3_HbT	S2_D18_HbT	S2_D3_HbT	S2_D2_HbT	S1_D17_HbT	S1_D2_HbT	S1_D1_HbT	
  -2.0000000e+00	  -2.3439191e-01	   5.4520277e-02	  -1.8563934e-01	   2.1870662e-01	   4.1288037e-17	  -1.8459596e-01	  -1.0765383e-01	  -2.0774737e-01	   1.0614165e-01	   9.5806797e-17	   1.4059303e-01	   3.7311315e-02	  -2.8251247e-01	  -5.5612093e-01	  -7.1075225e-15	   2.8086633e-02	   1.5654119e-01	   4.9920155e-02	   3.2699329e-02	  -4.1817620e-15	  -6.0508651e-02	  -1.2153682e-01	   1.0606670e-16	  -1.2287128e-15	   1.4153793e+00	   1.4932999e-03	  -1.3567058e-16	  -2.1966144e-02	  -5.5488424e-01	  -6.9408683e-17	   4.3270662e-03	   4.4556345e-02	   2.3740164e-01	  -7.7471839e-02	   2.4730393e-01	  -2.5874356e-01	   4.6725495e-17	   5.1173473e-01	   1.9038087e-01	   1.4619329e-01	  -8.4330860e-03	   7.4893918e-16	  -1.8958024e-01	  -7.0625520e-02	   3.5394383e-01	   6.2049692e-01	   5.9863292e-16	  -6.8403463e-02	  -2.2431646e-01	   1.9750722e-02	  -6.6455406e-02	   1.5701907e-15	  -1.4411993e-01	   7.5975332e-02	  -4.0938274e-17	   5.4204814e-16	  -1.0310096e-01	   4.4029139e-03	   5.7991463e-18	  -6.8074052e-04	   5.3699306e-01	   1.6946610e-16	  -6.7097384e-03	   5.3899637e-03	   3.0097222e-03	  -2.2951562e-02	   6.1664588e-02	  -4.0036936e-02	   8.8013532e-17	   3.2713877e-01	   8.2727038e-02	  -6.1554079e-02	   9.7708561e-02	   8.4474598e-16	  -4.8987209e-02	  -3.3314205e-02	   7.1431367e-02	   6.4375995e-02	  -6.5088896e-15	  -4.0316829e-02	  -6.7775272e-02	   6.9670877e-02	  -3.3756077e-02	  -2.6115714e-15	  -2.0462858e-01	  -4.5561486e-02	   6.5128428e-17	  -6.8666464e-16	   1.3122784e+00	   5.8962138e-03	  -1.2987144e-16	  -2.2646884e-02	  -1.7891185e-02	   1.0005741e-16	  -2.3826722e-03	   4.9946309e-02	
  -1.9500000e+00	  -2.3423284e-01	   4.6146180e-02	  -1.8784326e-01	   2.1465588e-01	   2.5527698e-17	  -1.7775721e-01	  -7.3916788e-02	  -2.4150893e-01	   1.0913114e-01	   1.8535062e-17	   1.3651074e-01	   3.9797004e-02	  -2.7725543e-01	  -5.2425894e-01	  -6.6738106e-15	   3.3446010e-02	   1.7089175e-01	   4.4151525e-02	   2.9624740e-02	  -4.0409967e-15	   1.8298141e-02	  -1.0978929e-01	   1.0934182e-16	  -1.1834439e-15	   1.3569476e+00	   1.5853303e-03	  -6.9365809e-17	  -2.1367621e-02	  -5.0082522e-01	  -6.3889966e-17	   5.3195288e-03	   4.4059921e-02	   2.3702441e-01	  -6.7527988e-02	   2.4934889e-01	  -2.5343041e-01	   4.3918050e-17	   5.1566391e-01	   1.4495439e-01	   1.8672166e-01	  -1.4271423e-02	   8.8764528e-16	  -1.8514341e-01	  -7.4439699e-02	   3.3964932e-01	   5.8473214e-01	   6.3342832e-16	  -7.5197422e-02	  -2.4075722e-01	   2.5073305e-02	  -6.1371098e-02	   1.6093987e-15	  -1.4798069e-01	   6.9827437e-02	  -3.4698925e-17	   5.1662618e-16	  -7.6173717e-02	   4.5685800e-03	  -1.8716248e-17	  -4.9310446e-05	   4.8852462e-01	   1.5721782e-16	  -5.9756534e-03	   4.9866966e-03	   2.7915743e-03	  -2.1381808e-02	   6.1505628e-02	  -3.8774524e-02	   6.9445748e-17	   3.3790670e-01	   7.1037603e-02	  -5.4787269e-02	   9.4859717e-02	   9.0618034e-16	  -4.8632668e-02	  -3.4642695e-02	   6.2393889e-02	   6.0473208e-02	  -6.0403822e-15	  -4.1751412e-02	  -6.9865475e-02	   6.9224829e-02	  -3.1746358e-02	  -2.4315980e-15	  -1.2968254e-01	  -3.9961849e-02	   7.4642896e-17	  -6.6681774e-16	   1.2807739e+00	   6.1539102e-03	  -8.8082057e-17	  -2.1416931e-02	  -1.2300605e-02	   9.3327855e-17	  -6.5612455e-04	   4.9046618e-02	
  -1.9000000e+00	  -2.3208915e-01	   3.8414849e-02	  -1.8792844e-01	   2.1062732e-01	   1.1543345e-17	  -1.7190813e-01	  -4.1738986e-02	  -2.7327427e-01	   1.1081297e-01	  -5.3043769e-17	   1.3079920e-01	   4.2196790e-02	  -2.6748819e-01	  -4.9088369e-01	  -6.2518216e-15	   3.8325070e-02	   1.8185551e-01	   3.7720780e-02	   2.5241973e-02	  -3.8943703e-15	   9.1112777e-02	  -9.7947292e-02	   1.1082764e-16	  -1.1262592e-15	   1.2954894e+00	   1.6880552e-03	  -4.2197494e-18	  -2.0638107e-02	  -4.4370024e-01	  -5.9296287e-17	   6.2511095e-03	   4.3463912e-02	   2.3438907e-01	  -5.8460471e-02	   2.4862579e-01	  -2.4792685e-01	   4.0530329e-17	   5.1411771e-01	   1.0202803e-01	   2.2570147e-01	  -1.9071765e-02	   1.0037505e-15	  -1.7846281e-01	  -7.7793677e-02	   3.2042830e-01	   5.4789715e-01	   6.8797027e-16	  -8.1206880e-02	  -2.5265499e-01	   3.0489514e-02	  -5.4551287e-02	   1.6514196e-15	  -1.4929908e-01	   6.3457505e-02	  -2.9086004e-17	   4.7872252e-16	  -5.0989958e-02	   4.7737354e-03	  -4.2034674e-17	   5.2266231e-04	   4.3655184e-01	   1.4530206e-16	  -5.1837343e-03	   4.5748491e-03	   2.2999144e-03	  -2.0045622e-02	   6.0697352e-02	  -3.7299533e-02	   5.2073674e-17	   3.4220958e-01	   6.0289046e-02	  -4.7572799e-02	   9.1741208e-02	   9.5070677e-16	  -4.7663611e-02	  -3.5596887e-02	   5.2940109e-02	   5.7013468e-02	  -5.5638513e-15	  -4.2881811e-02	  -7.0799481e-02	   6.8210293e-02	  -2.9309313e-02	  -2.2429506e-15	  -5.8186303e-02	  -3.4489787e-02	   8.1741632e-17	  -6.4753664e-16	   1.2444994e+00	   6.4617906e-03	  -4.6254424e-17	  -2.0115445e-02	  -7.1484027e-03	   8.6005769e-17	   1.0673752e-03	   4.8038761e-02	
  -1.8500000e+00	  -2.2786405e-01	   3.1442662e-02	  -1.8592960e-01	   2.0669348e-01	  -7.4423241e-19	  -1.6727518e-01	  -1.1239051e-02	  -3.0250024e-01	   1.1112889e-01	  -1.1787665e-16	   1.2350857e-01	   4.4573357e-02	  -2.5298685e-01	  -4.5595409e-01	  -5.8448075e-15	   4.2913113e-02	   1.8908039e-01	   3.0744489e-02	   1.9800147e-02	  -3.7441169e-15	   1.5688245e-01	  -8.6303244e-02	   1.1042804e-16	  -1.0588617e-15	   1.2306249e+00	   1.7765969e-03	   6.0286590e-17	  -1.9783189e-02	  -3.8435726e-01	  -5.5362271e-17	   7.1017733e-03	   4.2757886e-02	   2.2942661e-01	  -5.0385009e-02	   2.4520530e-01	  -2.4235991e-01	   3.6721164e-17	   5.0704319e-01	   6.1707047e-02	   2.6254029e-01	  -2.2816950e-02	   1.0960447e-15	  -1.6958719e-01	  -8.0743342e-02	   2.9614593e-01	   5.0989677e-01	   7.5968336e-16	  -8.6625522e-02	  -2.5958807e-01	   3.5866424e-02	  -4.6320276e-02	   1.6941192e-15	  -1.4806772e-01	   5.7095695e-02	  -2.4113216e-17	   4.3128853e-16	  -2.7162793e-02	   5.0106009e-03	  -6.3740106e-17	   1.0556952e-03	   3.8176460e-01	   1.3365420e-16	  -4.3444654e-03	   4.1579357e-03	   1.5625644e-03	  -1.8942347e-02	   5.9275703e-02	  -3.5666432e-02	   3.5976932e-17	   3.3976801e-01	   5.0467996e-02	  -3.9959944e-02	   8.8311940e-02	   9.7816804e-16	  -4.6078617e-02	  -3.6169984e-02	   4.3159079e-02	   5.3942683e-02	  -5.0851241e-15	  -4.3712408e-02	  -7.0507688e-02	   6.6610913e-02	  -2.6520129e-02	  -2.0499977e-15	   8.8147240e-03	  -2.9207549e-02	   8.6314824e-17	  -6.2757322e-16	   1.2034621e+00	   6.7871977e-03	  -3.4535160e-18	  -1.8727494e-02	  -2.5926581e-03	   7.8291932e-17	   2.7573079e-03	   4.6915822e-02	
  -1.8000000e+00	  -2.2147858e-01	   2.5314799e-02	  -1.8190440e-01	   2.0286666e-01	  -1.1444151e-17	  -1.6401321e-01	   1.7463028e-02	  -3.2870491e-01	   1.1007172e-01	  -1.7511580e-16	   1.1473981e-01	   4.6985383e-02	  -2.3369486e-01	  -4.1946475e-01	  -5.4557790e-15	   4.7334005e-02	   1.9230277e-01	   2.3363205e-02	   1.3537252e-02	  -3.5925930e-15	   2.1466090e-01	  -7.5138399e-02	   1.0807598e-16	  -9.8263616e-16	   1.1620082e+00	   1.8264097e-03	   1.2418950e-16	  -1.8811498e-02	  -3.2360808e-01	  -5.1884352e-17	   7.8530828e-03	   4.1928592e-02	   2.2208858e-01	  -4.3375322e-02	   2.3918549e-01	  -2.3678683e-01	   3.2647486e-17	   4.9449725e-01	   2.4078541e-02	   2.9666542e-01	  -2.5536053e-02	   1.1640211e-15	  -1.5862974e-01	  -8.3331240e-02	   2.6685915e-01	   4.7065623e-01	   8.4543516e-16	  -9.1572107e-02	  -2.6125554e-01	   4.1057198e-02	  -3.6991674e-02	   1.7351690e-15	  -1.4431390e-01	   5.0955150e-02	  -1.9767707e-17	   3.7738219e-16	  -4.3453520e-03	   5.2715048e-03	  -8.3406598e-17	   1.5698954e-03	   3.2487195e-01	   1.2224413e-16	  -3.4677477e-03	   3.7415524e-03	   6.1000113e-04	  -1.8060523e-02	   5.7281089e-02	  -3.3920172e-02	   2.1203334e-17	   3.3048404e-01	   4.1541569e-02	  -3.2039488e-02	   8.4535670e-02	   9.8890535e-16	  -4.3889923e-02	  -3.6345857e-02	   3.3164286e-02	   5.1191485e-02	  -4.6103439e-15	  -4.4238102e-02	  -6.8952770e-02	   6.4420403e-02	  -2.3454422e-02	  -1.8574240e-15	   7.0347005e-02	  -2.4183249e-02	   8.8308277e-17	  -6.0525397e-16	   1.1576629e+00	   7.0979145e-03	   4.0782897e-17	  -1.7241603e-02	   1.2638649e-03	   7.0359775e-17	   4.3853351e-03	   4.5670145e-02	
  -1.7500000e+00	  -2.1287602e-01	   2.0077879e-02	  -1.7592482e-01	   1.9909703e-01	  -2.0674482e-17	  -1.6219152e-01	   4.4243417e-02	  -3.5145387e-01	   1.0768414e-01	  -2.2409986e-16	   1.0464004e-01	   4.9489896e-02	  -2.0974102e-01	  -3.8146356e-01	  -5.0873192e-15	   5.1630050e-02	   1.9135938e-01	   1.5738253e-02	   6.6808578e-03	  -3.4421511e-15	   2.6362422e-01	  -6.4710552e-02	   1.0373976e-16	  -8.9859830e-16	   1.0893751e+00	   1.8160384e-03	   1.8690420e-16	  -1.7736691e-02	  -2.6222262e-01	  -4.8720858e-17	   8.4884757e-03	   4.0959331e-02	   2.1234992e-01	  -3.7454705e-02	   2.3067974e-01	  -2.3119179e-01	   2.8457115e-17	   4.7665576e-01	  -1.0783277e-02	   3.2751259e-01	  -2.7301100e-02	   1.2077909e-15	  -1.4576338e-01	  -8.5591541e-02	   2.3283256e-01	   4.3013864e-01	   9.4166876e-16	  -9.6071686e-02	  -2.5749104e-01	   4.5905178e-02	  -2.6868646e-02	   1.7721031e-15	  -1.3809922e-01	   4.5224146e-02	  -1.6018724e-17	   3.1982391e-16	   1.7722831e-02	   5.5486519e-03	  -1.0060443e-16	   2.0831552e-03	   2.6660085e-01	   1.1107181e-16	  -2.5629390e-03	   3.3329363e-03	  -5.2609641e-04	  -1.7376826e-02	   5.4754920e-02	  -3.2094760e-02	   7.7826332e-18	   3.1446423e-01	   3.3460141e-02	  -2.3941283e-02	   8.0383041e-02	   9.8369103e-16	  -4.1123343e-02	  -3.6101645e-02	   2.3091531e-02	   4.8675087e-02	  -4.1456504e-15	  -4.4441636e-02	  -6.6131658e-02	   6.1643431e-02	  -2.0187788e-02	  -1.6700480e-15	   1.2552501e-01	  -1.9486406e-02	   8.7721039e-17	  -5.7877440e-16	   1.1070979e+00	   7.3646903e-03	   8.6299766e-17	  -1.5653536e-02	   4.3782265e-03	   6.2350956e-17	   5.9255367e-03	   4.4292267e-02	
  -1.7000000e+00	  -2.0202433e-01	   1.5737795e-02	  -1.6807240e-01	   1.9527174e-01	  -2.8542333e-17	  -1.6177282e-01	   6.8978608e-02	  -3.7034928e-01	   1.0405329e-01	  -2.6435209e-16	   9.3395201e-02	   5.2139235e-02	  -1.8144499e-01	  -3.4205700e-01	  -4.7413250e-15	   5.5758714e-02	   1.8619208e-01	   8.0482634e-03	  -5.4480643e-04	  -3.2949309e-15	   3.0310461e-01	  -5.5242961e-02	   9.7432250e-17	  -8.0742458e-16	   1.0125851e+00	   1.7299752e-03	   2.4715823e-16	  -1.6578971e-02	  -2.0093267e-01	  -4.5782884e-17	   8.9932527e-03	   3.9829694e-02	   2.0021037e-01	  -3.2594807e-02	   2.1980980e-01	  -2.2548366e-01	   2.4281976e-17	   4.5381079e-01	  -4.2819513e-02	   3.5451826e-01	  -2.8219989e-02	   1.2279906e-15	  -1.3121369e-01	  -8.7552454e-02	   1.9453931e-01	   3.8835041e-01	   1.0445720e-15	  -1.0005223e-01	  -2.4826705e-01	   5.0247513e-02	  -1.6251845e-02	   1.8023971e-15	  -1.2952913e-01	   4.0059713e-02	  -1.2828033e-17	   2.6091059e-16	   3.9177814e-02	   5.8337489e-03	  -1.1490946e-16	   2.6095492e-03	   2.0769761e-01	   1.0015804e-16	  -1.6390786e-03	   2.9403433e-03	  -1.8139657e-03	  -1.6857011e-02	   5.1737395e-02	  -3.0211917e-02	  -4.2603572e-18	   2.9203797e-01	   2.6159095e-02	  -1.5831022e-02	   7.5833300e-02	   9.6363853e-16	  -3.7818487e-02	  -3.5413219e-02	   1.3094325e-02	   4.6293409e-02	  -3.6967530e-15	  -4.4293513e-02	  -6.2074965e-02	   5.8295776e-02	  -1.6796651e-02	  -1.4925337e-15	   1.7357548e-01	  -1.5183248e-02	   8.4604217e-17	  -5.4651399e-16	   1.0517629e+00	   7.5637241e-03	   1.3224877e-16	  -1.3969422e-02	   6.7649323e-03	   5.4375161e-17	   7.3541741e-03	   4.2770037e-02	
  -1.6500000e+00	  -1.8892071e-01	   1.2263963e-02	  -1.5843853e-01	   1.9121816e-01	  -3.5131553e-17	  -1.6259634e-01	   9.1546483e-02	  -3.8502551e-01	   9.9303431e-02	  -2.9559126e-16	   8.1223326e-02	   5.4970470e-02	  -1.4931014e-01	  -3.0140328e-01	  -4.4187588e-15	   5.9603352e-02	   1.7684739e-01	   4.8328416e-04	  -7.9080207e-03	  -3.1525311e-15	   3.3262987e-01	  -4.6914888e-02	   8.9221454e-17	  -7.0955330e-16	   9.3165667e-01	   1.5611129e-03	   3.0298752e-16	  -1.5366175e-02	  -1.4044972e-01	  -4.3020363e-17	   9.3543692e-03	   3.8515908e-02	   1.8569892e-01	  -2.8723036e-02	   2.0670535e-01	  -2.1949878e-01	   2.0233106e-17	   4.2635813e-01	  -7.1983929e-02	   3.7712159e-01	  -2.8427540e-02	   1.2256951e-15	  -1.1525297e-01	  -8.9231729e-02	   1.5264788e-01	   3.4533499e-01	   1.1502718e-15	  -1.0335817e-01	  -2.3369205e-01	   5.3921119e-02	  -5.4517460e-03	   1.8235581e-15	  -1.1876118e-01	   3.5583466e-02	  -1.0160461e-17	   2.0223943e-16	   6.0002896e-02	   6.1175559e-03	  -1.2590997e-16	   3.1581489e-03	   1.4893472e-01	   8.9533396e-17	  -7.0523793e-04	   2.5722959e-03	  -3.2217907e-03	  -1.6459073e-02	   4.8266822e-02	  -2.8280617e-02	  -1.4898447e-17	   2.6376180e-01	   1.9562554e-02	  -7.9039200e-03	   7.0875891e-02	   9.3010380e-16	  -3.4029641e-02	  -3.4261259e-02	   3.3377367e-03	   4.3931712e-02	  -3.2684870e-15	  -4.3754816e-02	  -5.6844661e-02	   5.4404403e-02	  -1.3359767e-02	  -1.3289730e-15	   2.1386869e-01	  -1.1331422e-02	   7.9060993e-17	  -5.0731388e-16	   9.9165957e-01	   7.6786688e-03	   1.7707755e-16	  -1.2208026e-02	   8.4849936e-03	   4.6513032e-17	   8.6491312e-03	   4.1088204e-02	
  -1.6000000e+00	  -1.7360159e-01	   9.5989590e-03	  -1.4712736e-01	   1.8671341e-01	  -4.0499268e-17	  -1.6437479e-01	   1.1181943e-01	  -3.9515156e-01	   9.3588324e-02	  -3.1775560e-16	   6.8368057e-02	   5.7988315e-02	  -1.1400577e-01	  -2.5969927e-01	  -4.1194662e-15	   6.2993461e-02	   1.6347481e-01	  -6.7642532e-03	  -1.5162085e-02	  -3.0156069e-15	   3.5195136e-01	  -3.9853651e-02	   7.9239634e-17	  -6.0534498e-16	   8.4678806e-01	   1.3122962e-03	   3.5179145e-16	  -1.4134301e-02	  -8.1485445e-02	  -4.0407577e-17	   9.5602199e-03	   3.6992065e-02	   1.6888538e-01	  -2.5736800e-02	   1.9150729e-01	  -2.1301139e-01	   1.6398002e-17	   3.9477760e-01	  -9.8229306e-02	   3.9477731e-01	  -2.8076141e-02	   1.2023447e-15	  -9.8194338e-02	  -9.0623789e-02	   1.0799810e-01	   3.0116183e-01	   1.2550176e-15	  -1.0577536e-01	  -2.1400635e-01	   5.6772129e-02	   5.2033485e-03	   1.8331972e-15	  -1.0600784e-01	   3.1879576e-02	  -7.9915015e-18	   1.4466724e-16	   8.0014574e-02	   6.3894676e-03	  -1.3321021e-16	   3.7323342e-03	   9.1114685e-02	   7.9228111e-17	   2.2905636e-04	   2.2367539e-03	  -4.7162141e-03	  -1.6137841e-02	   4.4379935e-02	  -2.6297979e-02	  -2.4101266e-17	   2.3040281e-01	   1.3590126e-02	  -3.7425380e-04	   6.5512183e-02	   8.8458911e-16	  -2.9826281e-02	  -3.2635473e-02	  -6.0076742e-03	   4.1462565e-02	  -2.8644486e-15	  -4.2781898e-02	  -5.0531543e-02	   5.0007876e-02	  -9.9587361e-03	  -1.1824097e-15	   2.4594353e-01	  -7.9740754e-03	   7.1248133e-17	  -4.6067774e-16	   9.2680264e-01	   7.7017638e-03	   2.1858125e-16	  -1.0401967e-02	   9.6292406e-03	   3.8820534e-17	   9.7892763e-03	   3.9228819e-02	
  -1.5500000e+00	  -1.5615550e-01	   7.6689581e-03	  -1.3425912e-01	   1.8149887e-01	  -4.4679184e-17	  -1.6670664e-01	   1.2965114e-01	  -4.0043786e-01	   8.7083678e-02	  -3.3105192e-16	   5.5089431e-02	   6.1148949e-02	  -7.6341418e-02	  -2.1717142e-01	  -3.8420912e-15	   6.5727052e-02	   1.4632678e-01	  -1.3509776e-02	  -2.2047452e-02	  -2.8835609e-15	   3.6105329e-01	  -3.4128094e-02	   6.7686615e-17	  -4.9528181e-16	   7.5836073e-01	   9.9658797e-04	   3.9045183e-16	  -1.2927104e-02	  -2.4760365e-02	  -3.7930596e-17	   9.6005974e-03	   3.5232222e-02	   1.4989491e-01	  -2.3518183e-02	   1.7437171e-01	  -2.0575000e-01	   1.2840088e-17	   3.5960886e-01	  -1.2148544e-01	   4.0697597e-01	  -2.7326372e-02	   1.1597029e-15	  -8.0381267e-02	  -9.1685631e-02	   6.1570188e-02	   2.5592329e-01	   1.3553174e-15	  -1.0705819e-01	  -1.8958035e-01	   5.8666514e-02	   1.5371292e-02	   1.8290934e-15	  -9.1536113e-02	   2.8993244e-02	  -6.3084525e-18	   8.8402423e-17	   9.8869169e-02	   6.6372704e-03	  -1.3643387e-16	   4.3295502e-03	   3.5061054e-02	   6.9264184e-17	   1.1534045e-03	   1.9403007e-03	  -6.2605918e-03	  -1.5849225e-02	   4.0112592e-02	  -2.4251129e-02	  -3.1839096e-17	   1.9290222e-01	   8.1657089e-03	   6.5381036e-03	   5.9757306e-02	   8.2865102e-16	  -2.5291836e-02	  -3.0536682e-02	  -1.4771230e-02	   3.8751875e-02	  -2.4867737e-15	  -4.1331137e-02	  -4.3253570e-02	   4.5156738e-02	  -6.6761604e-03	  -1.0544674e-15	   2.6951718e-01	  -5.1348505e-03	   6.1378162e-17	  -4.0687939e-16	   8.5722990e-01	   7.6338584e-03	   2.5401796e-16	  -8.5975537e-03	   1.0300689e-02	   3.1333589e-17	   1.0754002e-02	   3.7172523e-02	
