time	S7_D14_HbO	S7_D13_HbO	S7_D12_HbO	S7_D11_HbO	S6_D22_HbO	S6_D12_HbO	S6_D11_HbO	S6_D10_HbO	S6_D9_HbO	S5_D21_HbO	S5_D10_HbO	S5_D9_HbO	S5_D8_HbO	S5_D7_HbO	S4_D20_HbO	S4_D8_HbO	S4_D7_HbO	S4_D6_HbO	S4_D5_HbO	S8_D23_HbO	S8_D16_HbO	S8_D15_HbO	S8_D9_HbO	S3_D19_HbO	S3_D4_HbO	S3_D3_HbO	S2_D18_HbO	S2_D3_HbO	S2_D2_HbO	S1_D17_HbO	S1_D2_HbO	S1_D1_HbO	S7_D14_HbR	S7_D13_HbR	S7_D12_HbR	S7_D11_HbR	S6_D22_HbR	S6_D12_HbR	S6_D11_HbR	S6_D10_HbR	S6_D9_HbR	S5_D21_HbR	S5_D10_HbR	S5_D9_HbR	S5_D8_HbR	S5_D7_HbR	S4_D20_HbR	S4_D8_HbR	S4_D7_HbR	S4_D6_HbR	S4_D5_HbR	S8_D23_HbR	S8_D16_HbR	S8_D15_HbR	S8_D9_HbR	S3_D19_HbR	S3_D4_HbR	S3_D3_HbR	S2_D18_HbR	S2_D3_HbR	S2_D2_HbR	S1_D17_HbR	S1_D2_HbR	S1_D1_HbR	S7_D14_HbT	S7_D13_HbT	S7_D12_HbT	S7_D11_HbT	S6_D22_HbT	S6_D12_HbT	S6_D11_HbT	S6_D10_HbT	S6_D9_HbT	S5_D21_HbT	S5_D10_HbT	S5_D9_HbT	S5_D8_HbT	S5_D7_HbT	S4_D20_HbT	S4_D8_HbT	S4_D7_HbT	S4_D6_HbT	S4_D5_HbT	S8_D23_HbT	S8_D16_HbT	S8_D15_HbT	S8_D9_HbT	S3_D19_HbT	S3_D4_HbT	S3_D3_HbT	S2_D18_HbT	S2_D3_HbT	S2_D2_HbT	S1_D17_HbT	S1_D2_HbT	S1_D1_HbT	
  -2.0000000e+00	   9.1893405e-03	   8.8238123e-03	  -3.5390435e-02	  -7.3979899e-02	   4.8703472e-16	   1.9971344e-01	  -1.4592952e-01	   2.9157748e-02	   2.8548789e-02	  -6.1109414e-16	   6.0175543e-02	  -4.7515643e-02	  -9.8634362e-03	   1.2890069e-01	   3.6471385e-16	  -6.1588999e-03	  -3.0559686e-01	   1.5569199e-02	  -2.1356299e-02	   3.2203362e-15	   2.7803993e-02	   6.2920729e-02	  -2.2727305e-16	   1.6600480e-15	  -3.0798769e-02	   3.2777103e-02	  -4.0722797e-15	   3.3517624e-02	   3.6811110e-02	   2.8941873e-15	  -5.7304240e-02	   6.9589043e-03	  -1.5214502e-03	  -1.4918325e-02	   6.0721943e-02	   1.0700160e-01	  -2.1601983e-16	  -1.9549663e-01	   2.0545676e-01	   3.2244906e-03	  -1.3686228e-02	  -4.5065931e-16	  -3.5630953e-02	   8.1927281e-02	   2.6865776e-02	  -7.5508560e-02	  -3.1606796e-16	   4.3200298e-02	   2.6841006e-01	   3.8250748e-02	   5.0309057e-02	  -1.6160456e-15	   8.2913685e-03	   3.4040676e-03	  -1.6483418e-17	  -1.6281005e-15	   9.8668783e-03	   5.2282161e-03	   5.4995301e-15	   9.1606217e-03	   2.2373569e-02	  -3.8926968e-15	   1.0491677e-02	   1.5742079e-02	   7.6678903e-03	  -6.0945128e-03	   2.5331508e-02	   3.3021697e-02	   2.7101489e-16	   4.2168195e-03	   5.9527247e-02	   3.2382239e-02	   1.4862561e-02	  -1.0617534e-15	   2.4544590e-02	   3.4411638e-02	   1.7002340e-02	   5.3392131e-02	   4.8645887e-17	   3.7041398e-02	  -3.7186802e-02	   5.3819947e-02	   2.8952758e-02	   1.6042905e-15	   3.6095361e-02	   6.6324797e-02	  -2.4375647e-16	   3.1947494e-17	  -2.0931891e-02	   3.8005319e-02	   1.4272504e-15	   4.2678246e-02	   5.9184678e-02	  -9.9850950e-16	  -4.6812563e-02	   2.2700983e-02	
  -1.9500000e+00	   6.7029475e-03	   1.3023144e-02	  -3.6061507e-02	  -6.8250096e-02	   4.3927900e-16	   2.0781240e-01	  -1.4814264e-01	   2.6582597e-02	   2.8231051e-02	  -5.6329913e-16	   5.4003096e-02	  -4.3316877e-02	  -7.1992788e-03	   1.1457690e-01	   3.4347982e-16	  -8.2579013e-03	  -2.7068743e-01	   1.2906264e-02	  -1.8871851e-02	   2.9585108e-15	   2.7033459e-02	   5.7504622e-02	  -2.2602026e-16	   1.4761776e-15	  -2.9278379e-02	   3.1608108e-02	  -3.9453488e-15	   3.2116448e-02	   3.3409269e-02	   2.7628903e-15	  -5.2754771e-02	   7.3808874e-03	   1.6300548e-03	  -2.0028871e-02	   5.8972670e-02	   9.7782621e-02	  -1.9436828e-16	  -2.0402140e-01	   2.0576892e-01	   4.1042126e-03	  -1.5095533e-02	  -4.1303683e-16	  -3.2225728e-02	   7.4893003e-02	   1.6769686e-02	  -6.3210441e-02	  -2.9754844e-16	   4.3779181e-02	   2.3177628e-01	   3.8824273e-02	   4.5376787e-02	  -1.5327622e-15	   7.2897144e-03	   4.5933409e-03	  -1.2401387e-17	  -1.4662102e-15	   9.5694147e-03	   4.8244791e-03	   5.2485375e-15	   8.4468008e-03	   2.1327275e-02	  -3.7290753e-15	   8.9428357e-03	   1.4884139e-02	   8.3330023e-03	  -7.0057276e-03	   2.2911163e-02	   2.9532525e-02	   2.4491071e-16	   3.7909943e-03	   5.7626281e-02	   3.0686809e-02	   1.3135518e-02	  -9.7633596e-16	   2.1777368e-02	   3.1576125e-02	   9.5704072e-03	   5.1366457e-02	   4.5931377e-17	   3.5521280e-02	  -3.8911148e-02	   5.1730537e-02	   2.6504936e-02	   1.4257486e-15	   3.4323174e-02	   6.2097963e-02	  -2.3842164e-16	   9.9673626e-18	  -1.9708965e-02	   3.6432587e-02	   1.3031887e-15	   4.0563249e-02	   5.4736544e-02	  -9.6618492e-16	  -4.3811935e-02	   2.2265027e-02	
  -1.9000000e+00	   4.3713620e-03	   1.6753573e-02	  -3.6412736e-02	  -6.2616285e-02	   3.9287388e-16	   2.1370360e-01	  -1.4820336e-01	   2.3886838e-02	   2.7831256e-02	  -5.1550691e-16	   4.7797451e-02	  -3.8637586e-02	  -4.1359239e-03	   1.0080793e-01	   3.2087461e-16	  -9.8360859e-03	  -2.3374895e-01	   1.0668782e-02	  -1.6187446e-02	   2.6654658e-15	   2.6249868e-02	   5.2001291e-02	  -2.2528380e-16	   1.2999173e-15	  -2.7479452e-02	   3.0331176e-02	  -3.8160354e-15	   3.0817828e-02	   3.0294061e-02	   2.6149923e-15	  -4.8202393e-02	   7.7489607e-03	   4.6818802e-03	  -2.4597885e-02	   5.6816321e-02	   8.8534342e-02	  -1.7284295e-16	  -2.0960352e-01	   2.0323723e-01	   5.1097951e-03	  -1.6297367e-02	  -3.7435916e-16	  -2.8400473e-02	   6.7338868e-02	   6.7326043e-03	  -5.2073979e-02	  -2.7631662e-16	   4.3748704e-02	   1.9423166e-01	   3.9048182e-02	   4.0217168e-02	  -1.4262660e-15	   6.1961831e-03	   5.8367739e-03	  -7.0809299e-18	  -1.3113527e-15	   9.1471554e-03	   4.4375105e-03	   4.9980345e-15	   7.7002165e-03	   2.0271954e-02	  -3.5595169e-15	   7.4341690e-03	   1.4051265e-02	   9.0532422e-03	  -7.8443126e-03	   2.0403584e-02	   2.5918057e-02	   2.2003093e-16	   4.1000800e-03	   5.5033873e-02	   2.8996633e-02	   1.1533889e-02	  -8.8986607e-16	   1.9396978e-02	   2.8701282e-02	   2.5966804e-03	   4.8733956e-02	   4.4557992e-17	   3.3912618e-02	  -3.9517292e-02	   4.9716964e-02	   2.4029722e-02	   1.2391998e-15	   3.2446051e-02	   5.7838065e-02	  -2.3236473e-16	  -1.1435482e-17	  -1.8332297e-02	   3.4768686e-02	   1.1819991e-15	   3.8518044e-02	   5.0566016e-02	  -9.4452456e-16	  -4.0768224e-02	   2.1800226e-02	
  -1.8500000e+00	   2.2603997e-03	   1.9949679e-02	  -3.6487992e-02	  -5.7140890e-02	   3.4787311e-16	   2.1722730e-01	  -1.4608226e-01	   2.1106110e-02	   2.7331430e-02	  -4.6761453e-16	   4.1647088e-02	  -3.3523955e-02	  -7.3620421e-04	   8.7866492e-02	   2.9753925e-16	  -1.0934970e-02	  -1.9525061e-01	   8.9274717e-03	  -1.3319923e-02	   2.3444599e-15	   2.5447195e-02	   4.6433254e-02	  -2.2474913e-16	   1.1337209e-15	  -2.5399245e-02	   2.8964515e-02	  -3.6814409e-15	   2.9611555e-02	   2.7448062e-02	   2.4501139e-15	  -4.3672278e-02	   8.0717929e-03	   7.5454509e-03	  -2.8539996e-02	   5.4340718e-02	   7.9402344e-02	  -1.5155617e-16	  -2.1217294e-01	   1.9785257e-01	   6.2055958e-03	  -1.7266198e-02	  -3.3532843e-16	  -2.4255033e-02	   5.9323450e-02	  -3.0878825e-03	  -4.2366120e-02	  -2.5306834e-16	   4.3174464e-02	   1.5630328e-01	   3.8848550e-02	   3.4871622e-02	  -1.2977533e-15	   5.0212613e-03	   7.1094914e-03	  -7.6000566e-19	  -1.1659692e-15	   8.6036883e-03	   4.0704957e-03	   4.7471412e-15	   6.9317887e-03	   1.9206877e-02	  -3.3814765e-15	   5.9812849e-03	   1.3237244e-02	   9.8058505e-03	  -8.5903175e-03	   1.7852726e-02	   2.2261454e-02	   1.9631694e-16	   5.0543565e-03	   5.1770305e-02	   2.7311706e-02	   1.0065232e-02	  -8.0294296e-16	   1.7392055e-02	   2.5799495e-02	  -3.8240867e-03	   4.5500372e-02	   4.4470912e-17	   3.2239495e-02	  -3.8947334e-02	   4.7776022e-02	   2.1551699e-02	   1.0467067e-15	   3.0468457e-02	   5.3542746e-02	  -2.2550914e-16	  -3.2248344e-17	  -1.6795557e-02	   3.3035011e-02	   1.0657002e-15	   3.6543344e-02	   4.6654939e-02	  -9.3136255e-16	  -3.7690993e-02	   2.1309037e-02	
  -1.8000000e+00	   4.3249668e-04	   2.2560440e-02	  -3.6329785e-02	  -5.1876652e-02	   3.0433757e-16	   2.1828585e-01	  -1.4180628e-01	   1.8275395e-02	   2.6711565e-02	  -4.1963648e-16	   3.5641019e-02	  -2.8027981e-02	   2.8963768e-03	   7.5913717e-02	   2.7404497e-16	  -1.1603101e-02	  -1.5574817e-01	   7.7295985e-03	  -1.0297554e-02	   1.9993552e-15	   2.4615020e-02	   4.0824212e-02	  -2.2408765e-16	   9.8000463e-16	  -2.3041478e-02	   2.7529643e-02	  -3.5385548e-15	   2.8484121e-02	   2.4844441e-02	   2.2681958e-15	  -3.9188419e-02	   8.3569327e-03	   1.0130137e-02	  -3.1786014e-02	   5.1633290e-02	   7.0517680e-02	  -1.3062878e-16	  -2.1174549e-01	   1.8968476e-01	   7.3558226e-03	  -1.7977161e-02	  -2.9658011e-16	  -1.9899383e-02	   5.0909766e-02	  -1.2498100e-02	  -3.4204382e-02	  -2.2846817e-16	   4.2127483e-02	   1.1857616e-01	   3.8171694e-02	   2.9393877e-02	  -1.1489859e-15	   3.7802217e-03	   8.3865556e-03	   6.3002025e-18	  -1.0325116e-15	   7.9448215e-03	   3.7259462e-03	   4.4953208e-15	   6.1529710e-03	   1.8131651e-02	  -3.1925229e-15	   4.5975503e-03	   1.2434538e-02	   1.0562633e-02	  -9.2255739e-03	   1.5303505e-02	   1.8641028e-02	   1.7370879e-16	   6.5403624e-03	   4.7878481e-02	   2.5631217e-02	   8.7344038e-03	  -7.1621659e-16	   1.5741636e-02	   2.2881785e-02	  -9.6017231e-03	   4.1709336e-02	   4.5576801e-17	   3.0524382e-02	  -3.7172012e-02	   4.5901293e-02	   1.9096323e-02	   8.5036934e-16	   2.8395242e-02	   4.9210767e-02	  -2.1778745e-16	  -5.2506931e-17	  -1.5096656e-02	   3.1255589e-02	   9.5676597e-16	   3.4637092e-02	   4.2976092e-02	  -9.2432713e-16	  -3.4590869e-02	   2.0791470e-02	
  -1.7500000e+00	  -1.0570789e-03	   2.4550348e-02	  -3.5978598e-02	  -4.6862377e-02	   2.6233701e-16	   2.1684605e-01	  -1.3545340e-01	   1.5427401e-02	   2.5951421e-02	  -3.7171420e-16	   2.9864739e-02	  -2.2209697e-02	   6.6242811e-03	   6.5007170e-02	   2.5087933e-16	  -1.1890948e-02	  -1.1586508e-01	   7.0968783e-03	  -7.1589037e-03	   1.6346298e-15	   2.3739607e-02	   3.5200852e-02	  -2.2296306e-16	   8.4110092e-16	  -2.0417320e-02	   2.6049746e-02	  -3.3843781e-15	   2.7418795e-02	   2.2448127e-02	   2.0695006e-15	  -3.4773330e-02	   8.6101958e-03	   1.2348526e-02	  -3.4284442e-02	   4.8778844e-02	   6.1990525e-02	  -1.1018795e-16	  -2.0841674e-01	   1.7887590e-01	   8.5264471e-03	  -1.8408342e-02	  -2.5866694e-16	  -1.5449062e-02	   4.2168663e-02	  -2.1279445e-02	  -2.7569861e-02	  -2.0312892e-16	   4.0677327e-02	   8.1671247e-02	   3.6986036e-02	   2.3847977e-02	  -9.8229205e-16	   2.4924439e-03	   9.6424062e-03	   1.3819495e-17	  -9.1335002e-16	   7.1785912e-03	   3.4058078e-03	   4.2423566e-15	   5.3754532e-03	   1.7046287e-02	  -2.9904371e-15	   3.2938704e-03	   1.1634679e-02	   1.1291448e-02	  -9.7340937e-03	   1.2800246e-02	   1.5128148e-02	   1.5214906e-16	   8.4293113e-03	   4.3422493e-02	   2.3953848e-02	   7.5430788e-03	  -6.3038114e-16	   1.4415678e-02	   1.9958966e-02	  -1.4655164e-02	   3.7437310e-02	   4.7750414e-17	   2.8786379e-02	  -3.4193833e-02	   4.4082914e-02	   1.6689074e-02	   6.5233774e-16	   2.6232051e-02	   4.4843259e-02	  -2.0914357e-16	  -7.2249094e-17	  -1.3238729e-02	   2.9455553e-02	   8.5797851e-16	   3.2794248e-02	   3.9494414e-02	  -9.2093648e-16	  -3.1479460e-02	   2.0244875e-02	
  -1.7000000e+00	  -2.1635087e-03	   2.5899218e-02	  -3.5474292e-02	  -4.2119403e-02	   2.2195083e-16	   2.1293630e-01	  -1.2714450e-01	   1.2591582e-02	   2.5032446e-02	  -3.2410406e-16	   2.4396608e-02	  -1.6139767e-02	   1.0286227e-02	   5.5105911e-02	   2.2843356e-16	  -1.1846632e-02	  -7.6272621e-02	   7.0246628e-03	  -3.9500646e-03	   1.2553722e-15	   2.2805061e-02	   2.9594526e-02	  -2.2103748e-16	   7.1914400e-16	  -1.7546227e-02	   2.4547764e-02	  -3.2161232e-15	   2.6395912e-02	   2.0218114e-02	   1.8546555e-15	  -3.0447766e-02	   8.8352229e-03	   1.4121523e-02	  -3.6001512e-02	   4.5859953e-02	   5.3904831e-02	  -9.0364260e-17	  -2.0234992e-01	   1.6563011e-01	   9.6868116e-03	  -1.8542909e-02	  -2.2205238e-16	  -1.1020351e-02	   3.3183091e-02	  -2.9202142e-02	  -2.2316808e-02	  -1.7759364e-16	   3.8886418e-02	   4.6223784e-02	   3.5282573e-02	   1.8304294e-02	  -8.0054061e-16	   1.1808063e-03	   1.0850348e-02	   2.1503092e-17	  -8.1061489e-16	   6.3152591e-03	   3.1114779e-03	   3.9882354e-15	   4.6108473e-03	   1.5951125e-02	  -2.7733516e-15	   2.0787278e-03	   1.0828905e-02	   1.1958014e-02	  -1.0102295e-02	   1.0385661e-02	   1.1785428e-02	   1.3158657e-16	   1.0586384e-02	   3.8485614e-02	   2.2278393e-02	   6.4895370e-03	  -5.4615644e-16	   1.3376258e-02	   1.7043324e-02	  -1.8915915e-02	   3.2789104e-02	   5.0839914e-17	   2.7039786e-02	  -3.0048837e-02	   4.2307236e-02	   1.4354229e-02	   4.5483162e-16	   2.3985867e-02	   4.0444874e-02	  -1.9953439e-16	  -9.1470886e-17	  -1.1230968e-02	   2.7659242e-02	   7.7211220e-16	   3.1006759e-02	   3.6169239e-02	  -9.1869614e-16	  -2.8369038e-02	   1.9664128e-02	
  -1.6500000e+00	  -2.8550146e-03	   2.6601000e-02	  -3.4858183e-02	  -3.7649881e-02	   1.8326822e-16	   2.0664133e-01	  -1.1703668e-01	   9.7942486e-03	   2.3939467e-02	  -2.7714998e-16	   1.9304859e-02	  -9.9012706e-03	   1.3712150e-02	   4.6071878e-02	   2.0699236e-16	  -1.1513909e-02	  -3.7671447e-02	   7.4821914e-03	  -7.2126495e-04	   8.6723267e-16	   2.1794517e-02	   2.4042460e-02	  -2.1797922e-16	   6.1589286e-16	  -1.4456711e-02	   2.3044330e-02	  -3.0314474e-15	   2.5393440e-02	   1.8110685e-02	   1.6247324e-15	  -2.6230569e-02	   9.0331832e-03	   1.5382933e-02	  -3.6920046e-02	   4.2958475e-02	   4.6315140e-02	  -7.1287861e-17	  -1.9376177e-01	   1.5020515e-01	   1.0810222e-02	  -1.8370664e-02	  -1.8711166e-16	  -6.7256643e-03	   2.4051638e-02	  -3.6042678e-02	  -1.8177707e-02	  -1.5232279e-16	   3.6807335e-02	   1.2864477e-02	   3.3074392e-02	   1.2834778e-02	  -6.0708075e-16	  -1.2896722e-04	   1.1982011e-02	   2.9048552e-17	  -7.2598882e-16	   5.3673057e-03	   2.8437453e-03	   3.7329626e-15	   3.8703207e-03	   1.4846597e-02	  -2.5399233e-15	   9.5844110e-04	   1.0008928e-02	   1.2527919e-02	  -1.0319045e-02	   8.1002921e-03	   8.6652584e-03	   1.1198036e-16	   1.2879559e-02	   3.3168470e-02	   2.0604470e-02	   5.5688028e-03	  -4.6426164e-16	   1.2579195e-02	   1.4150367e-02	  -2.2330527e-02	   2.7894170e-02	   5.4669567e-17	   2.5293426e-02	  -2.4806971e-02	   4.0556583e-02	   1.2113513e-02	   2.6015192e-16	   2.1665550e-02	   3.6024471e-02	  -1.8893066e-16	  -1.1009596e-16	  -9.0894055e-03	   2.5888075e-02	   7.0151525e-16	   2.9263761e-02	   3.2957282e-02	  -9.1519095e-16	  -2.5272127e-02	   1.9042111e-02	
  -1.6000000e+00	  -3.1143786e-03	   2.6662343e-02	  -3.4174137e-02	  -3.3437179e-02	   1.4638806e-16	   1.9809470e-01	  -1.0532031e-01	   7.0594419e-03	   2.2662084e-02	  -2.3125245e-16	   1.4644600e-02	  -3.5890030e-03	   1.6740412e-02	   3.7677075e-02	   1.8673145e-16	  -1.0932676e-02	  -7.7568108e-04	   8.4139216e-03	   2.4761024e-03	   4.7632269e-16	   2.0691335e-02	   1.8588186e-02	  -2.1347460e-16	   5.3252018e-16	  -1.1187084e-02	   2.1555736e-02	  -2.8286714e-15	   2.4387841e-02	   1.6083037e-02	   1.3813509e-15	  -2.2138661e-02	   9.2026268e-03	   1.6083024e-02	  -3.7037955e-02	   4.0156241e-02	   3.9246101e-02	  -5.3084329e-17	  -1.8290753e-01	   1.3290759e-01	   1.1873459e-02	  -1.7889046e-02	  -1.5413616e-16	  -2.6687848e-03	   1.4888799e-02	  -4.1602629e-02	  -1.4776105e-02	  -1.2769018e-16	   3.4483623e-02	  -1.7794775e-02	   3.0395480e-02	   7.5088865e-03	  -4.0564985e-16	  -1.4091745e-03	   1.3007071e-02	   3.6156826e-17	  -6.6048594e-16	   4.3494325e-03	   2.6027160e-03	   3.4763581e-15	   3.1641805e-03	   1.3732920e-02	  -2.2895168e-15	  -6.2445704e-05	   9.1677318e-03	   1.2968646e-02	  -1.0375612e-02	   5.9821038e-03	   5.8089226e-03	   9.3303726e-17	   1.5187168e-02	   2.7587278e-02	   1.8932900e-02	   4.7730379e-03	  -3.8538861e-16	   1.1975815e-02	   1.1299796e-02	  -2.4862216e-02	   2.2900970e-02	   5.9041276e-17	   2.3550948e-02	  -1.8570456e-02	   3.8809401e-02	   9.9849890e-03	   7.0672843e-17	   1.9282160e-02	   3.1595257e-02	  -1.7731777e-16	  -1.2796576e-16	  -6.8376519e-03	   2.4158452e-02	   6.4768672e-16	   2.7552021e-02	   2.9815957e-02	  -9.0816587e-16	  -2.2201107e-02	   1.8370359e-02	
  -1.5500000e+00	  -2.9391625e-03	   2.6101585e-02	  -3.3467239e-02	  -2.9447989e-02	   1.1141857e-16	   1.8746824e-01	  -9.2218753e-02	   4.4095195e-03	   2.1195691e-02	  -1.8683802e-16	   1.0454577e-02	   2.6938146e-03	   1.9232974e-02	   2.9625565e-02	   1.6772489e-16	  -1.0140850e-02	   3.3700637e-02	   9.7420763e-03	   5.5911283e-03	   8.9074048e-17	   1.9480164e-02	   1.3280713e-02	  -2.0724330e-16	   4.6941797e-16	  -7.7859747e-03	   2.0092188e-02	  -2.6069570e-15	   2.3355220e-02	   1.4096697e-02	   1.1267679e-15	  -1.8187174e-02	   9.3395154e-03	   1.6190539e-02	  -3.6367275e-02	   3.7532935e-02	   3.2694393e-02	  -3.5871194e-17	  -1.7006435e-01	   1.1409013e-01	   1.2856056e-02	  -1.7103689e-02	  -1.2333873e-16	   1.0601939e-03	   5.8214795e-03	  -4.5725149e-02	  -1.1657940e-02	  -1.0398890e-16	   3.1952582e-02	  -4.5170205e-02	   2.7298626e-02	   2.3913619e-03	  -2.0026315e-16	  -2.6311613e-03	   1.3893707e-02	   4.2546675e-17	  -6.1426633e-16	   3.2785595e-03	   2.3877896e-03	   3.2178948e-15	   2.5014190e-03	   1.2609823e-02	  -2.0223641e-15	  -9.8074646e-04	   8.3002644e-03	   1.3251377e-02	  -1.0265690e-02	   4.0656960e-03	   3.2464041e-03	   7.5547377e-17	   1.7403893e-02	   2.1871372e-02	   1.7265575e-02	   4.0920012e-03	  -3.1017676e-16	   1.1514771e-02	   8.5152941e-03	  -2.6492175e-02	   1.7967625e-02	   6.3735994e-17	   2.1811732e-02	  -1.1469568e-02	   3.7040702e-02	   7.9824902e-03	  -1.1118911e-16	   1.6849003e-02	   2.7174420e-02	  -1.6469662e-16	  -1.4484837e-16	  -4.5074152e-03	   2.2479978e-02	   6.1093777e-16	   2.5856639e-02	   2.6706520e-02	  -8.9559612e-16	  -1.9167920e-02	   1.7639780e-02	
