time	S7_D14_HbO	S7_D13_HbO	S7_D12_HbO	S7_D11_HbO	S6_D22_HbO	S6_D12_HbO	S6_D11_HbO	S6_D10_HbO	S6_D9_HbO	S5_D21_HbO	S5_D10_HbO	S5_D9_HbO	S5_D8_HbO	S5_D7_HbO	S4_D20_HbO	S4_D8_HbO	S4_D7_HbO	S4_D6_HbO	S4_D5_HbO	S8_D23_HbO	S8_D16_HbO	S8_D15_HbO	S8_D9_HbO	S3_D19_HbO	S3_D4_HbO	S3_D3_HbO	S2_D18_HbO	S2_D3_HbO	S2_D2_HbO	S1_D17_HbO	S1_D2_HbO	S1_D1_HbO	S7_D14_HbR	S7_D13_HbR	S7_D12_HbR	S7_D11_HbR	S6_D22_HbR	S6_D12_HbR	S6_D11_HbR	S6_D10_HbR	S6_D9_HbR	S5_D21_HbR	S5_D10_HbR	S5_D9_HbR	S5_D8_HbR	S5_D7_HbR	S4_D20_HbR	S4_D8_HbR	S4_D7_HbR	S4_D6_HbR	S4_D5_HbR	S8_D23_HbR	S8_D16_HbR	S8_D15_HbR	S8_D9_HbR	S3_D19_HbR	S3_D4_HbR	S3_D3_HbR	S2_D18_HbR	S2_D3_HbR	S2_D2_HbR	S1_D17_HbR	S1_D2_HbR	S1_D1_HbR	S7_D14_HbT	S7_D13_HbT	S7_D12_HbT	S7_D11_HbT	S6_D22_HbT	S6_D12_HbT	S6_D11_HbT	S6_D10_HbT	S6_D9_HbT	S5_D21_HbT	S5_D10_HbT	S5_D9_HbT	S5_D8_HbT	S5_D7_HbT	S4_D20_HbT	S4_D8_HbT	S4_D7_HbT	S4_D6_HbT	S4_D5_HbT	S8_D23_HbT	S8_D16_HbT	S8_D15_HbT	S8_D9_HbT	S3_D19_HbT	S3_D4_HbT	S3_D3_HbT	S2_D18_HbT	S2_D3_HbT	S2_D2_HbT	S1_D17_HbT	S1_D2_HbT	S1_D1_HbT	
  -2.0000000e+00	   6.3104836e-02	   2.2426149e-02	  -1.5295070e-01	  -2.9570286e-02	   8.3659513e-16	  -3.1560921e-01	   5.6025171e-02	   1.9874577e-02	   3.3301704e-02	   7.0702339e-16	   1.3198936e-02	  -7.7055327e-03	  -2.8644177e-01	   6.4329062e-02	  -9.8025610e-16	   1.4542053e-01	  -2.1025413e-02	   3.8142627e-02	   4.0229068e-02	  -2.6947252e-16	  -4.2549228e-02	  -6.3817884e-03	  -1.5790804e-16	   2.2196403e-16	  -6.7522077e-02	  -4.5084675e-02	  -5.5721708e-16	   2.9534587e-02	   9.1007538e-03	   5.7438957e-16	  -3.6929377e-02	  -4.6436146e-02	   3.9050932e-02	   9.7867219e-03	   8.6076534e-02	   6.6028538e-02	   1.5280795e-16	   4.4303282e-01	  -8.1270292e-02	  -5.4315050e-02	  -1.9750935e-02	  -1.9402901e-16	  -2.7787161e-02	   3.1742994e-02	   3.1435664e-01	   7.0589221e-02	  -1.6950039e-15	  -9.7798894e-02	   5.9559876e-02	   6.3794536e-03	  -4.4685842e-02	  -1.7553602e-16	   1.1274573e-01	   3.6657333e-02	   1.4403134e-16	   1.6523353e-17	   7.2790605e-03	   4.0445961e-03	   1.0468458e-16	   9.8239665e-03	   2.1640420e-04	   5.5815483e-17	   6.2743026e-04	  -1.8059379e-02	   1.0215577e-01	   3.2212871e-02	  -6.6874163e-02	   3.6458252e-02	   9.8940307e-16	   1.2742361e-01	  -2.5245121e-02	  -3.4440474e-02	   1.3550769e-02	   5.1299438e-16	  -1.4588225e-02	   2.4037462e-02	   2.7914871e-02	   1.3491828e-01	  -2.6752600e-15	   4.7621638e-02	   3.8534463e-02	   4.4522081e-02	  -4.4567737e-03	  -4.4500854e-16	   7.0196506e-02	   3.0275545e-02	  -1.3876701e-17	   2.3848738e-16	  -6.0243017e-02	  -4.1040079e-02	  -4.5253250e-16	   3.9358554e-02	   9.3171580e-03	   6.3020505e-16	  -3.6301947e-02	  -6.4495525e-02	
  -1.9500000e+00	   5.7494488e-02	   2.0394350e-02	  -1.4653490e-01	  -2.8227836e-02	   1.0057986e-15	  -2.6295419e-01	   9.9021703e-02	   1.6596593e-02	   3.1229104e-02	   6.8225849e-16	   2.3785828e-02	  -8.2788141e-03	  -2.4399117e-01	   6.2977383e-02	  -1.1813989e-15	   1.3559391e-01	  -1.6333437e-02	   3.7501268e-02	   4.2616746e-02	  -2.7874517e-16	  -3.8234558e-02	  -8.3543015e-03	  -1.4115593e-16	   2.0079200e-16	  -5.8917999e-02	  -4.0143019e-02	  -5.2328659e-16	   2.8635563e-02	   9.7587140e-03	   5.7961866e-16	  -3.4348026e-02	  -4.1585497e-02	   3.7818650e-02	   9.4612509e-03	   8.2389938e-02	   6.2054370e-02	   8.6316838e-17	   3.8107327e-01	  -1.2952214e-01	  -4.8400365e-02	  -1.8004708e-02	  -1.6571274e-16	  -3.4637885e-02	   3.0709389e-02	   2.6518941e-01	   7.7565729e-02	  -1.6338855e-15	  -9.0095588e-02	   5.1637018e-02	   6.5270895e-03	  -4.9514071e-02	  -2.0037881e-16	   1.1430300e-01	   4.2428371e-02	   1.2862040e-16	   1.6847353e-17	   7.3493630e-03	   4.8706336e-03	   1.0066493e-16	   9.2578360e-03	   9.1393081e-04	   2.0231489e-17	   8.7332109e-06	  -1.7620889e-02	   9.5313138e-02	   2.9855601e-02	  -6.4144963e-02	   3.3826534e-02	   1.0921155e-15	   1.1811907e-01	  -3.0500435e-02	  -3.1803771e-02	   1.3224396e-02	   5.1654575e-16	  -1.0852057e-02	   2.2430575e-02	   2.1198232e-02	   1.4054311e-01	  -2.8152844e-15	   4.5498326e-02	   3.5303581e-02	   4.4028357e-02	  -6.8973247e-03	  -4.7912398e-16	   7.6068440e-02	   3.4074069e-02	  -1.2535531e-17	   2.1763936e-16	  -5.1568636e-02	  -3.5272385e-02	  -4.2262166e-16	   3.7893399e-02	   1.0672645e-02	   5.9985015e-16	  -3.4339292e-02	  -5.9206386e-02	
  -1.9000000e+00	   5.1995433e-02	   1.8110137e-02	  -1.3978482e-01	  -2.6947003e-02	   1.1605872e-15	  -2.1019566e-01	   1.3980963e-01	   1.3567398e-02	   2.8681928e-02	   6.5015073e-16	   3.2525111e-02	  -8.5878425e-03	  -1.9714964e-01	   6.1289747e-02	  -1.3665857e-15	   1.2604458e-01	  -1.0985703e-02	   3.6693883e-02	   4.4649414e-02	  -2.8343488e-16	  -3.3766687e-02	  -1.0118979e-02	  -1.2296160e-16	   1.7973051e-16	  -5.0699977e-02	  -3.5409768e-02	  -4.8744400e-16	   2.7563489e-02	   1.0318457e-02	   5.7662678e-16	  -3.1699735e-02	  -3.6786753e-02	   3.6485969e-02	   9.4018812e-03	   7.8547780e-02	   5.8169836e-02	   2.2701491e-17	   3.1726301e-01	  -1.7598414e-01	  -4.2548375e-02	  -1.6002051e-02	  -1.3561906e-16	  -3.9618294e-02	   2.9393796e-02	   2.1057893e-01	   8.3711297e-02	  -1.5545612e-15	  -8.2785138e-02	   4.2791428e-02	   6.5553341e-03	  -5.3696711e-02	  -2.2071738e-16	   1.1478228e-01	   4.7587277e-02	   1.1157299e-16	   1.6607672e-17	   7.3715163e-03	   5.5732215e-03	   9.7039309e-17	   8.6523608e-03	   1.6103345e-03	  -1.2839913e-17	  -5.0937970e-04	  -1.7055665e-02	   8.8481402e-02	   2.7512018e-02	  -6.1237036e-02	   3.1222834e-02	   1.1832887e-15	   1.0706735e-01	  -3.6174509e-02	  -2.8980977e-02	   1.2679877e-02	   5.1453167e-16	  -7.0931824e-03	   2.0805953e-02	   1.3429288e-02	   1.4500104e-01	  -2.9211469e-15	   4.3259442e-02	   3.1805725e-02	   4.3249217e-02	  -9.0472973e-03	  -5.0415225e-16	   8.1015592e-02	   3.7468299e-02	  -1.1388611e-17	   1.9633818e-16	  -4.3328461e-02	  -2.9836546e-02	  -3.9040469e-16	   3.6215849e-02	   1.1928791e-02	   5.6378686e-16	  -3.2209115e-02	  -5.3842418e-02	
  -1.8500000e+00	   4.6635823e-02	   1.5629415e-02	  -1.3269067e-01	  -2.5759823e-02	   1.3002874e-15	  -1.5801950e-01	   1.7765451e-01	   1.0859139e-02	   2.5751807e-02	   6.1123336e-16	   3.9357499e-02	  -8.6319638e-03	  -1.4663142e-01	   5.9300845e-02	  -1.5344391e-15	   1.1688083e-01	  -5.0553782e-03	   3.5732627e-02	   4.6246287e-02	  -2.8352661e-16	  -2.9188404e-02	  -1.1636088e-02	  -1.0343582e-16	   1.5893836e-16	  -4.2892946e-02	  -3.0879975e-02	  -4.5005780e-16	   2.6328577e-02	   1.0779128e-02	   5.6529133e-16	  -2.8991260e-02	  -3.2080981e-02	   3.5041508e-02	   9.5555063e-03	   7.4526887e-02	   5.4430499e-02	  -3.7536106e-17	   2.5245071e-01	  -2.1968705e-01	  -3.6874703e-02	  -1.3811614e-02	  -1.0436075e-16	  -4.2680143e-02	   2.7809695e-02	   1.5141709e-01	   8.8925521e-02	  -1.4579483e-15	  -7.5988443e-02	   3.3141933e-02	   6.4516674e-03	  -5.7110693e-02	  -2.3614707e-16	   1.1416747e-01	   5.2039714e-02	   9.2939872e-17	   1.5860192e-17	   7.3378310e-03	   6.1451609e-03	   9.3641886e-17	   8.0059447e-03	   2.2854862e-03	  -4.2714303e-17	  -9.3408747e-04	  -1.6374265e-02	   8.1677331e-02	   2.5184922e-02	  -5.8163783e-02	   2.8670676e-02	   1.2627513e-15	   9.4431211e-02	  -4.2032539e-02	  -2.6015565e-02	   1.1940193e-02	   5.0687261e-16	  -3.3226431e-03	   1.9177731e-02	   4.7856676e-03	   1.4822637e-01	  -2.9923874e-15	   4.0892387e-02	   2.8086555e-02	   4.2184294e-02	  -1.0864406e-02	  -5.1967368e-16	   8.4979070e-02	   4.0403626e-02	  -1.0495953e-17	   1.7479855e-16	  -3.5555115e-02	  -2.4734814e-02	  -3.5641591e-16	   3.4334521e-02	   1.3064614e-02	   5.2257702e-16	  -2.9925347e-02	  -4.8455246e-02	
  -1.8000000e+00	   4.1442325e-02	   1.3014281e-02	  -1.2524231e-01	  -2.4683769e-02	   1.4241898e-15	  -1.0715626e-01	   2.1185585e-01	   8.5346618e-03	   2.2532590e-02	   5.6612574e-16	   4.4283106e-02	  -8.4204982e-03	  -9.3284692e-02	   5.7052520e-02	  -1.6837232e-15	   1.0818412e-01	   1.3712825e-03	   3.4627729e-02	   4.7339966e-02	  -2.7905256e-16	  -2.4548299e-02	  -1.2871605e-02	  -8.2755228e-17	   1.3856726e-16	  -3.5515092e-02	  -2.6548501e-02	  -4.1151683e-16	   2.4943276e-02	   1.1140883e-02	   5.4551831e-16	  -2.6231024e-02	  -2.7508260e-02	   3.3476981e-02	   9.8612708e-03	   7.0300236e-02	   5.0873382e-02	  -9.3888265e-17	   1.8756069e-01	  -2.5969161e-01	  -3.1487123e-02	  -1.1503470e-02	  -7.2552783e-17	  -4.3850951e-02	   2.5974647e-02	   8.8754020e-02	   9.3109510e-02	  -1.3452585e-15	  -6.9793728e-02	   2.2824279e-02	   6.2082240e-03	  -5.9657291e-02	  -2.4636814e-16	   1.1245872e-01	   5.5704686e-02	   7.2854030e-17	   1.4669721e-17	   7.2427756e-03	   6.5825356e-03	   9.0305303e-17	   7.3186002e-03	   2.9207707e-03	  -6.8719130e-17	  -1.2739096e-03	  -1.5588031e-02	   7.4919306e-02	   2.2875552e-02	  -5.4942078e-02	   2.6189614e-02	   1.3303015e-15	   8.0404432e-02	  -4.7835763e-02	  -2.2952461e-02	   1.1029120e-02	   4.9357296e-16	   4.3215524e-04	   1.7554149e-02	  -4.5306717e-03	   1.5016203e-01	  -3.0289817e-15	   3.8390389e-02	   2.4195562e-02	   4.0835953e-02	  -1.2317325e-02	  -5.2542070e-16	   8.7910420e-02	   4.2833081e-02	  -9.9011978e-18	   1.5323698e-16	  -2.8272316e-02	  -1.9965966e-02	  -3.2121152e-16	   3.2261876e-02	   1.4061653e-02	   4.7679918e-16	  -2.7504934e-02	  -4.3096291e-02	
  -1.7500000e+00	   3.6439530e-02	   1.0332617e-02	  -1.1743368e-01	  -2.3721176e-02	   1.5315647e-15	  -5.8357852e-02	   2.4177628e-01	   6.6409278e-03	   1.9116764e-02	   5.1552613e-16	   4.7365180e-02	  -7.9677774e-03	  -3.8076799e-02	   5.4591055e-02	  -1.8132783e-15	   1.0000548e-01	   8.1900267e-03	   3.3387167e-02	   4.7879034e-02	  -2.7008648e-16	  -1.9899136e-02	  -1.3798116e-02	  -6.1173646e-17	   1.1875734e-16	  -2.8580055e-02	  -2.2411512e-02	  -3.7221792e-16	   2.3421750e-02	   1.1404187e-02	   5.1728515e-16	  -2.3429436e-02	  -2.3106394e-02	   3.1787547e-02	   1.0251094e-02	   6.5843061e-02	   4.7515801e-02	  -1.4585731e-16	   1.2356441e-01	  -2.9512871e-01	  -2.6476894e-02	  -9.1454317e-03	  -4.0802225e-17	  -4.3237706e-02	   2.3904870e-02	   2.3780038e-02	   9.6168635e-02	  -1.2179634e-15	  -6.4252065e-02	   1.1996937e-02	   5.8223948e-03	  -6.1265353e-02	  -2.5120158e-16	   1.0967131e-01	   5.8517382e-02	   5.1547590e-17	   1.3111841e-17	   7.0830709e-03	   6.8846347e-03	   8.6870331e-17	   6.5922293e-03	   3.4996055e-03	  -9.0226818e-17	  -1.5382186e-03	  -1.4708826e-02	   6.8227077e-02	   2.0583711e-02	  -5.1590616e-02	   2.3794625e-02	   1.3857074e-15	   6.5206561e-02	  -5.3352428e-02	  -1.9835966e-02	   9.9713321e-03	   4.7472390e-16	   4.1274745e-03	   1.5937092e-02	  -1.4296761e-02	   1.5075969e-01	  -3.0312417e-15	   3.5753411e-02	   2.0186963e-02	   3.9209562e-02	  -1.3386318e-02	  -5.2128806e-16	   8.9772173e-02	   4.4719266e-02	  -9.6260560e-18	   1.3186918e-16	  -2.1496984e-02	  -1.5526877e-02	  -2.8534759e-16	   3.0013979e-02	   1.4903792e-02	   4.2705834e-16	  -2.4967654e-02	  -3.7815220e-02	
  -1.7000000e+00	   3.1649221e-02	   7.6567737e-03	  -1.0926641e-01	  -2.2859716e-02	   1.6216833e-15	  -1.2359947e-02	   2.6686769e-01	   5.2032577e-03	   1.5591732e-02	   4.6019829e-16	   4.8729228e-02	  -7.2871327e-03	   1.7923137e-02	   5.1963653e-02	  -1.9219744e-15	   9.2364109e-02	   1.5275503e-02	   3.2016763e-02	   4.7829815e-02	  -2.5673881e-16	  -1.5296163e-02	  -1.4395903e-02	  -3.9020213e-17	   9.9633329e-17	  -2.2099237e-02	  -1.8467604e-02	  -3.3255823e-16	   2.1779114e-02	   1.1569054e-02	   4.8068717e-16	  -2.0598975e-02	  -1.8909599e-02	   2.9972152e-02	   1.0651386e-02	   6.1137954e-02	   4.4355501e-02	  -1.9297108e-16	   6.1439530e-02	  -3.2523541e-01	  -2.1911168e-02	  -6.7991797e-03	  -9.6951284e-18	  -4.1024752e-02	   2.1609216e-02	  -4.2195329e-02	   9.8016956e-02	  -1.0777664e-15	  -5.9375473e-02	   8.4456083e-04	   5.2968766e-03	  -6.1893213e-02	  -2.5060083e-16	   1.0583462e-01	   6.0431764e-02	   2.9351844e-17	   1.1273610e-17	   6.8576416e-03	   7.0536927e-03	   8.3196046e-17	   5.8308727e-03	   4.0078408e-03	  -1.0669132e-16	  -1.7368071e-03	  -1.3748808e-02	   6.1621373e-02	   1.8308160e-02	  -4.8128457e-02	   2.1495785e-02	   1.4287122e-15	   4.9079583e-02	  -5.8367716e-02	  -1.6707910e-02	   8.7925525e-03	   4.5050316e-16	   7.7044755e-03	   1.4322083e-02	  -2.4272192e-02	   1.4998061e-01	  -2.9997408e-15	   3.2988636e-02	   1.6120063e-02	   3.7313640e-02	  -1.4063398e-02	  -5.0733963e-16	   9.0538460e-02	   4.6035861e-02	  -9.6683686e-18	   1.1090694e-16	  -1.5241596e-02	  -1.1413911e-02	  -2.4936218e-16	   2.7609987e-02	   1.5576894e-02	   3.7399585e-16	  -2.2335782e-02	  -3.2658407e-02	
  -1.6500000e+00	   2.7089689e-02	   5.0608808e-03	  -1.0075245e-01	  -2.2074674e-02	   1.6938405e-15	   3.0160881e-02	   2.8668706e-01	   4.2223491e-03	   1.2036482e-02	   4.0095325e-16	   4.8556818e-02	  -6.3863324e-03	   7.3571128e-02	   4.9214591e-02	  -2.0086847e-15	   8.5248018e-02	   2.2481111e-02	   3.0520668e-02	   4.7177871e-02	  -2.3915556e-16	  -1.0795460e-02	  -1.4653930e-02	  -1.6683810e-17	   8.1301797e-17	  -1.6083698e-02	  -1.4718446e-02	  -2.9292987e-16	   2.0030495e-02	   1.1634302e-02	   4.3598127e-16	  -1.7754130e-02	  -1.4947360e-02	   2.8033749e-02	   1.0986478e-02	   5.6178625e-02	   4.1373046e-02	  -2.3479683e-16	   2.1270115e-03	  -3.4937805e-01	  -1.7828919e-02	  -4.5168644e-03	   2.0217297e-17	  -3.7465014e-02	   1.9085322e-02	  -1.0777598e-01	   9.8582798e-02	  -9.2658478e-16	  -5.5137526e-02	  -1.0422364e-02	   4.6391982e-03	  -6.1530112e-02	  -2.4465790e-16	   1.0099117e-01	   6.1422383e-02	   6.6801372e-18	   9.2524373e-18	   6.5674650e-03	   7.0944929e-03	   7.9169439e-17	   5.0408551e-03	   4.4340519e-03	  -1.1768618e-16	  -1.8795350e-03	  -1.2720232e-02	   5.5123439e-02	   1.6047359e-02	  -4.4573826e-02	   1.9298372e-02	   1.4590437e-15	   3.2287893e-02	  -6.2690998e-02	  -1.3606570e-02	   7.5196172e-03	   4.2117055e-16	   1.1091804e-02	   1.2698990e-02	  -3.4204852e-02	   1.4779739e-01	  -2.9352694e-15	   3.0110492e-02	   1.2058747e-02	   3.5159866e-02	  -1.4352241e-02	  -4.8381346e-16	   9.0195710e-02	   4.6768453e-02	  -1.0003672e-17	   9.0554234e-17	  -9.5162330e-03	  -7.6239534e-03	  -2.1376044e-16	   2.5071350e-02	   1.6068354e-02	   3.1829508e-16	  -1.9633665e-02	  -2.7667592e-02	
  -1.6000000e+00	   2.2775313e-02	   2.6171004e-03	  -9.1915360e-02	  -2.1332959e-02	   1.7473793e-15	   6.8625790e-02	   3.0089981e-01	   3.6742628e-03	   8.5191983e-03	   3.3863274e-16	   4.7074888e-02	  -5.2664662e-03	   1.2768745e-01	   4.6381454e-02	  -2.0722780e-15	   7.8616307e-02	   2.9642229e-02	   2.8901980e-02	   4.5928994e-02	  -2.1752174e-16	  -6.4524693e-03	  -1.4570358e-02	   5.4110444e-18	   6.3850369e-17	  -1.0545207e-02	  -1.1168870e-02	  -2.5371286e-16	   1.8190079e-02	   1.1596985e-02	   3.8362485e-16	  -1.4911227e-02	  -1.1243607e-02	   2.5979218e-02	   1.1183329e-02	   5.0972023e-02	   3.8536402e-02	  -2.7095273e-16	  -5.3506826e-02	  -3.6705921e-01	  -1.4240542e-02	  -2.3388753e-03	   4.8429376e-17	  -3.2865501e-02	   1.6320109e-02	  -1.7152697e-01	   9.7814532e-02	  -7.6653732e-16	  -5.1476022e-02	  -2.1572279e-02	   3.8610022e-03	  -6.0196844e-02	  -2.3360227e-16	   9.5195848e-02	   6.1484871e-02	  -1.5999885e-17	   7.1526735e-18	   6.2153599e-03	   7.0139195e-03	   7.4712904e-17	   4.2307352e-03	   4.7697322e-03	  -1.2294038e-16	  -1.9760394e-03	  -1.1635269e-02	   4.8754531e-02	   1.3800429e-02	  -4.0943336e-02	   1.7203443e-02	   1.4764266e-15	   1.5118964e-02	  -6.6159403e-02	  -1.0566279e-02	   6.1803230e-03	   3.8706211e-16	   1.4209387e-02	   1.1053642e-02	  -4.3839518e-02	   1.4419599e-01	  -2.8388154e-15	   2.7140284e-02	   8.0699505e-03	   3.2762983e-02	  -1.4267850e-02	  -4.5112400e-16	   8.8743379e-02	   4.6914513e-02	  -1.0588840e-17	   7.1003042e-17	  -4.3298469e-03	  -4.1549506e-03	  -1.7899996e-16	   2.2420815e-02	   1.6366718e-02	   2.6068447e-16	  -1.6887266e-02	  -2.2878876e-02	
  -1.5500000e+00	   1.8716498e-02	   3.9151914e-04	  -8.2790329e-02	  -2.0597834e-02	   1.7817139e-15	   1.0258423e-01	   3.0927444e-01	   3.5124833e-03	   5.0961513e-03	   2.7409959e-16	   4.4540691e-02	  -3.9248506e-03	   1.7910187e-01	   4.3491790e-02	  -2.1116349e-15	   7.2402660e-02	   3.6581906e-02	   2.7163239e-02	   4.4108918e-02	  -1.9206938e-16	  -2.3207332e-03	  -1.4152156e-02	   2.6832805e-17	   4.7348704e-17	  -5.4962259e-03	  -7.8264640e-03	  -2.1526500e-16	   1.6270368e-02	   1.1452162e-02	   3.2430627e-16	  -1.2088254e-02	  -7.8162963e-03	   2.3818906e-02	   1.1176579e-02	   4.5538660e-02	   3.5806544e-02	  -3.0111715e-16	  -1.0470207e-01	  -3.7791247e-01	  -1.1129819e-02	  -2.9315279e-04	   7.4486147e-17	  -2.7566872e-02	   1.3295179e-02	  -2.3202988e-01	   9.5685666e-02	  -5.9992608e-16	  -4.8297181e-02	  -3.2360549e-02	   2.9774450e-03	  -5.7944668e-02	  -2.1779135e-16	   8.8515312e-02	   6.0634606e-02	  -3.8199768e-17	   5.0803518e-18	   5.8057538e-03	   6.8205506e-03	   6.9787772e-17	   3.4110323e-03	   5.0093825e-03	  -1.2236567e-16	  -2.0354605e-03	  -1.0505826e-02	   4.2535404e-02	   1.1568098e-02	  -3.7251669e-02	   1.5208710e-02	   1.4805968e-15	  -2.1178457e-03	  -6.8638034e-02	  -7.6173359e-03	   4.8029985e-03	   3.4858574e-16	   1.6973819e-02	   9.3703286e-03	  -5.2928004e-02	   1.3917746e-01	  -2.7115610e-15	   2.4105480e-02	   4.2213578e-03	   3.0140684e-02	  -1.3835750e-02	  -4.0986073e-16	   8.6194579e-02	   4.6482451e-02	  -1.1366964e-17	   5.2429056e-17	   3.0952795e-04	  -1.0059134e-03	  -1.4547723e-16	   1.9681401e-02	   1.6461544e-02	   2.0194059e-16	  -1.4123714e-02	  -1.8322122e-02	
